0	0.482411	-0.0249426	108000	2.16025
100	0.485735	-0.0374753	108000	299.2
200	0.485629	-0.00576644	108000	1144.71
300	0.506258	0.0151834	108000	1399.42
400	0.497817	-0.0198166	108000	847.609
500	0.493618	0.0124014	108000	568.36
600	0.501921	-0.00153088	108000	1331.84
700	0.502754	-0.0546203	108000	1625.33
800	0.497763	-0.00276108	108000	1338.67
900	0.492281	-0.00232423	108000	528.831
1000	0.502681	0.0208837	108000	1358.03
1100	0.497739	0.0107083	108000	2268.9
1200	0.498891	0.0445818	108000	1364.97
1300	0.503443	0.0256994	108000	1676.07
1400	0.508833	0.0370489	108000	1490.06
1500	0.499756	0.0725636	108000	1582.18
1600	0.496669	0.033648	108000	1944.49
1700	0.501107	-0.0321981	108000	2119.42
1800	0.501724	-0.111008	108000	2542.43
1900	0.496486	-0.0424442	108000	1761.19
2000	0.487326	-0.0120323	108000	1364.56
2100	0.499255	0.0025763	108000	847.326
2200	0.501013	0.0386112	108000	225.629
2300	0.523107	0.0545298	108000	315.672
2400	0.51727	-0.00927087	108000	400.436
2500	0.516308	-0.00677724	108000	417.545
2600	0.502387	0.010788	108000	967.968
2700	0.504248	-0.00217995	108000	118.797
2800	0.504002	0.0248701	108000	666.437
2900	0.507614	0.0296098	108000	765.057
3000	0.503117	0.0134312	108000	1009.18
3100	0.497177	-0.0165758	108000	965.35
3200	0.50948	-0.0695514	108000	573.941
3300	0.499506	-0.0781708	108000	1147.16
3400	0.502685	-0.0457762	108000	1456.63
3500	0.493597	0.0388769	108000	1339.95
